RecipeId,id,score,[features]
322137,52a13998-d2ee-4cd6-8846-c17910347961,3,"queryMatchName=0.0,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=4.1850247,queryMatchKeywords=0.27373242,queryMatchInstructions=0.0,queryMatchReviews=0.5790071,queryMatchAuthorName=0.0,recency=0.06969907,rating=0.9,reviewCount=6.529546E-4,keywordCount=0.15625,ingredientCount=0.1590909,instructionCount=0.056074765,imageCount=0.0,originalScore=17.671448"
63756,539f8db2-45c2-4554-974d-e655c8f4aeb0,5,"queryMatchName=1.8942201,queryMatchDescription=1.0242625,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.18675652,queryMatchInstructions=0.0,queryMatchReviews=0.6952177,queryMatchAuthorName=0.0,recency=0.05110486,rating=1.0,reviewCount=0.040809665,keywordCount=0.375,ingredientCount=0.25,instructionCount=0.04672897,imageCount=0.042283297,originalScore=18.7725"
244474,8ac48670-9ea7-43cf-85de-805a7824f4c2,4,"queryMatchName=1.8942201,queryMatchDescription=1.4381098,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.17962235,queryMatchInstructions=0.0,queryMatchReviews=0.6873468,queryMatchAuthorName=0.0,recency=0.06488372,rating=1.0,reviewCount=0.0019588638,keywordCount=0.34375,ingredientCount=0.13636364,instructionCount=0.04672897,imageCount=0.0084566595,originalScore=18.7725"
82126,1cfed052-c406-423d-a312-f9d012569edf,4,"queryMatchName=1.8942201,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.22203061,queryMatchInstructions=0.0,queryMatchReviews=0.6661695,queryMatchAuthorName=0.0,recency=0.052837353,rating=0.9,reviewCount=0.0013059092,keywordCount=0.25,ingredientCount=0.1590909,instructionCount=0.1401869,imageCount=0.006342495,originalScore=18.7725"
361554,1df3267d-53ab-40ac-916b-803ca1a3e777,3,"queryMatchName=1.8942201,queryMatchDescription=1.4381098,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.23303434,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.07248539,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.21875,ingredientCount=0.25,instructionCount=0.037383176,imageCount=0.0021141649,originalScore=18.7725"
321840,2853780f-df55-4535-8938-0c2040452506,3,"queryMatchName=1.4173334,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.2586738,queryMatchInstructions=0.0,queryMatchReviews=0.0,queryMatchAuthorName=0.0,recency=0.06968581,rating=1.0,reviewCount=0.0016323866,keywordCount=0.1875,ingredientCount=0.36363637,instructionCount=0.19626167,imageCount=0.0,originalScore=17.159235"
242316,a962932f-2cb4-453c-9535-ff4681df93a9,3,"queryMatchName=1.8942201,queryMatchDescription=1.4381098,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.21201918,queryMatchInstructions=0.0,queryMatchReviews=0.5298672,queryMatchAuthorName=0.0,recency=0.06474609,rating=1.0,reviewCount=0.0019588638,keywordCount=0.28125,ingredientCount=0.11363637,instructionCount=0.06542056,imageCount=0.01268499,originalScore=18.7725"
349185,5e80f56c-ff97-43ef-b5fe-af4b40af1f0f,3,"queryMatchName=1.8942201,queryMatchDescription=0.0,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.30980262,queryMatchInstructions=0.0,queryMatchReviews=0.60716116,queryMatchAuthorName=0.0,recency=0.07153685,rating=1.0,reviewCount=3.264773E-4,keywordCount=0.125,ingredientCount=0.18181819,instructionCount=0.04672897,imageCount=0.0,originalScore=18.7725"
81116,3c173a09-361f-4a65-968c-d7b3810207e9,5,"queryMatchName=1.8942201,queryMatchDescription=1.0790608,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.0,queryMatchInstructions=0.0,queryMatchReviews=0.6912441,queryMatchAuthorName=0.0,recency=0.052753642,rating=1.0,reviewCount=0.013712047,keywordCount=0.21875,ingredientCount=0.11363637,instructionCount=0.1495327,imageCount=0.0042283298,originalScore=18.7725"
8970,dc5c3d5c-b555-4a05-91d4-683b671da654,5,"queryMatchName=1.7031965,queryMatchDescription=1.4047232,queryMatchCategory=0.0,queryMatchIngredients=0.0,queryMatchKeywords=0.14612925,queryMatchInstructions=0.0,queryMatchReviews=0.692935,queryMatchAuthorName=0.0,recency=0.046234347,rating=0.9,reviewCount=0.007182501,keywordCount=0.53125,ingredientCount=0.11363637,instructionCount=0.09345794,imageCount=0.006342495,originalScore=16.879377"
