4 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.3863543 5:1.2202129 6:3.4500465 7:5.295878 8:0.0 9:0.04960318 10:1.0 11:0.0048971595 12:0.40625 13:0.20454547 14:0.06542056 15:0.0042283298 16:21.139862 # 45029
2 qid:0 1:4.227972 2:4.429398 3:2.1892886 4:1.7223853 5:1.757226 6:4.9239116 7:5.533495 8:0.0 9:0.0512409 10:1.0 11:0.012079661 12:0.1875 13:0.18181819 14:0.11214953 15:0.027484143 16:21.139862 # 65429
3 qid:0 1:4.227972 2:4.1284647 3:2.1892886 4:1.2167892 5:1.757226 6:4.187243 7:4.6582522 8:0.0 9:0.051305495 10:0.6 11:0.0009794319 12:0.1875 13:0.27272728 14:0.317757 15:0.0 16:21.139862 # 65988
3 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.6647414 5:1.2686768 6:4.040382 7:0.0 8:0.0 9:0.052071363 10:0.0 11:0.0 12:0.375 13:0.20454547 14:0.09345794 15:0.0 16:21.139862 # 73500
2 qid:0 1:4.227972 2:0.0 3:2.1892886 4:1.9992995 5:1.1336048 6:0.0 7:4.9124136 8:0.0 9:0.05219752 10:1.0 11:0.0026118185 12:0.4375 13:0.06818182 14:0.04672897 15:0.0 16:21.139862 # 75026
2 qid:0 1:4.227972 2:5.257823 3:2.1892886 4:1.5128477 5:1.5830517 6:4.6238074 7:0.0 8:0.0 9:0.054222066 10:0.0 11:0.0 12:0.21875 13:0.25 14:0.11214953 15:0.0 16:21.139862 # 96079
2 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:2.3823128 5:1.757226 6:5.019189 7:0.0 8:0.0 9:0.0557319 10:0.0 11:0.0 12:0.1875 13:0.022727273 14:0.10280374 15:0.0 16:21.139862 # 108940
5 qid:0 1:4.227972 2:4.7543364 3:2.1892886 4:1.7841647 5:1.3211496 6:3.2668693 7:5.18353 8:0.0 9:0.058434937 10:1.0 11:0.0013059092 12:0.28125 13:0.13636364 14:0.1495327 15:0.0021141649 16:21.139862 # 145672
3 qid:0 1:4.227972 2:4.1023264 3:2.1892886 4:1.8505404 5:1.8595226 6:2.268919 7:0.0 8:0.0 9:0.061392944 10:0.0 11:0.0 12:0.15625 13:0.13636364 14:0.07476635 15:0.0 16:21.139862 # 186625
3 qid:0 1:4.227972 2:2.7902372 3:2.1892886 4:1.2167892 5:2.1045551 6:3.2525089 7:0.0 8:0.0 9:0.07438479 10:0.0 11:0.0 12:0.125 13:0.29545456 14:0.1588785 15:0.0 16:21.139862 # 382960
3 qid:0 1:4.227972 2:0.0 3:2.1892886 4:1.7223853 5:1.508301 6:4.790577 7:2.2142053 8:0.0 9:0.066042274 10:1.0 11:0.0003264773 12:0.25 13:0.1590909 14:0.084112145 15:0.0 16:21.139862 # 264886
2 qid:0 1:4.227972 2:2.171719 3:2.1892886 4:1.5128477 5:1.4402914 6:2.323308 7:5.235544 8:0.0 9:0.053252403 10:0.9 11:0.0022853413 12:0.28125 13:0.25 14:0.07476635 15:0.0021141649 16:21.139862 # 87116
3 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.3131565 5:1.757226 6:3.3999195 7:0.0 8:0.0 9:0.06489553 10:1.0 11:0.0006529546 12:0.1875 13:0.27272728 14:0.25233644 15:0.0 16:21.139862 # 244643
3 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.426101 5:1.6655979 6:3.6277401 7:0.0 8:0.0 9:0.06489553 10:0.0 11:0.0 12:0.21875 13:0.25 14:0.12149532 15:0.0 16:21.139862 # 244669
3 qid:0 1:4.227972 2:1.7474748 3:2.1892886 4:1.6647414 5:1.508301 6:4.0721903 7:5.0747614 8:0.0 9:0.06540543 10:1.0 11:0.0013059092 12:0.25 13:0.18181819 14:0.07476635 15:0.0 16:21.139862 # 254153
3 qid:0 1:4.227972 2:3.5394688 3:2.1892886 4:1.1600356 5:0.0 6:3.9111304 7:5.354321 8:0.0 9:0.06622137 10:1.0 11:0.0003264773 12:0.125 13:0.3181818 14:0.04672897 15:0.0021141649 16:21.139862 # 268412
2 qid:0 1:4.227972 2:4.044063 3:2.1892886 4:1.2793818 5:0.0 6:2.1966949 7:4.4712777 8:3.000143 9:0.06649791 10:1.0 11:0.0003264773 12:0.0625 13:0.27272728 14:0.07476635 15:0.0 16:21.139862 # 273073
2 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.5603025 5:2.1045551 6:2.526216 7:0.0 8:0.0 9:0.070776924 10:0.0 11:0.0 12:0.125 13:0.18181819 14:0.056074765 15:0.0 16:21.139862 # 337821
1 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.6647414 5:0.0 6:0.0 7:0.0 8:0.0 9:0.076163605 10:0.0 11:0.0 12:0.125 13:0.20454547 14:0.009345794 15:0.0 16:21.139862 # 400184
2 qid:0 1:4.227972 2:4.8320436 3:0.0 4:1.3131565 5:0.0 6:4.682823 7:0.0 8:0.0 9:0.07622701 10:0.0 11:0.0 12:0.0625 13:0.22727273 14:0.037383176 15:0.0 16:21.139862 # 400632
2 qid:0 1:4.227972 2:4.8320436 3:2.1892886 4:1.348763 5:1.6655979 6:4.778672 7:0.0 8:0.0 9:0.076481685 10:0.0 11:0.0 12:0.21875 13:0.22727273 14:0.056074765 15:0.0 16:21.139862 # 402966
2 qid:0 1:4.227972 2:0.0 3:2.1892886 4:1.5603025 5:1.757226 6:4.2609158 7:0.0 8:0.0 9:0.07955493 10:0.0 11:0.0 12:0.1875 13:0.20454547 14:0.1401869 15:0.0 16:21.139862 # 429333
2 qid:0 1:4.227972 2:3.963572 3:2.1892886 4:1.348763 5:0.0 6:4.878635 7:0.0 8:0.0 9:0.083167806 10:0.0 11:0.0 12:0.15625 13:0.20454547 14:0.04672897 15:0.0021141649 16:21.139862 # 444942
2 qid:0 1:4.227972 2:0.0 3:2.1892886 4:1.5128477 5:0.0 6:2.1721754 7:0.0 8:0.0 9:0.10092909 10:0.0 11:0.0 12:0.09375 13:0.13636364 14:0.056074765 15:0.0 16:21.139862 # 495150
2 qid:0 1:4.227972 2:2.0416102 3:0.0 4:1.3863543 5:1.6655979 6:3.4139767 7:0.0 8:0.0 9:0.10940021 10:0.0 11:0.0 12:0.21875 13:0.25 14:0.10280374 15:0.0021141649 16:21.139862 # 509636
2 qid:0 1:4.227972 2:4.4032397 3:0.0 4:2.0830235 5:0.0 6:5.215619 7:0.0 8:0.0 9:0.16213976 10:0.0 11:0.0 12:0.03125 13:0.09090909 14:0.084112145 15:0.0 16:21.139862 # 528999
2 qid:0 1:4.227972 2:4.8320436 3:0.0 4:1.3131565 5:0.0 6:3.9563966 7:0.0 8:0.0 9:0.19524248 10:0.0 11:0.0 12:0.125 13:0.22727273 14:0.037383176 15:0.0 16:21.139862 # 534511
2 qid:0 1:4.227972 2:4.8320436 3:0.0 4:1.348763 5:0.0 6:4.074114 7:0.0 8:0.0 9:0.43553287 10:0.0 11:0.0 12:0.15625 13:0.20454547 14:0.037383176 15:0.0 16:21.139862 # 541018
2 qid:0 1:4.065003 2:3.7550623 3:2.1892886 4:1.3131565 5:1.6655979 6:3.6262038 7:0.0 8:0.0 9:0.066078015 10:0.0 11:0.0 12:0.1875 13:0.20454547 14:0.12149532 15:0.0 16:20.325014 # 265898
3 qid:0 1:4.0220833 2:4.676984 3:3.1261215 4:2.0830235 5:0.0 6:2.4702952 7:2.6168551 8:0.0 9:0.066149615 10:1.0 11:0.0006529546 12:0.21875 13:0.06818182 14:0.06542056 15:0.0 16:20.110416 # 267322
3 qid:0 1:4.0220833 2:5.185342 3:0.0 4:1.9992995 5:1.8595226 6:2.741138 7:2.062111 8:0.0 9:0.07015333 10:0.9 11:0.0006529546 12:0.15625 13:0.06818182 14:0.07476635 15:0.0 16:20.110416 # 328449
3 qid:0 1:4.0220833 2:4.4375205 3:2.1892886 4:1.9992995 5:0.0 6:5.3848495 7:0.0 8:0.0 9:0.07174743 10:1.0 11:0.0003264773 12:0.125 13:0.11363637 14:0.009345794 15:0.0 16:20.110416 # 352044
4 qid:0 1:3.7537808 2:0.0 3:2.1892886 4:1.7841647 5:1.6655979 6:4.480551 7:5.177958 8:0.0 9:0.049409125 10:1.0 11:0.0019588638 12:0.25 13:0.11363637 14:0.06542056 15:0.0042283298 16:18.768902 # 41910
5 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:0.97763896 5:1.094753 6:2.5008216 7:4.941107 8:0.0 9:0.049415797 10:1.0 11:0.0016323866 12:0.40625 13:0.36363637 14:0.17757009 15:0.0042283298 16:18.768902 # 42112
3 qid:0 1:3.7537808 2:4.445818 3:2.1892886 4:1.426101 5:1.6655979 6:4.6635084 7:4.8643284 8:0.0 9:0.049415797 10:0.5 11:0.0006529546 12:0.25 13:0.22727273 14:0.22429906 15:0.0021141649 16:18.768902 # 42132
2 qid:0 1:3.7537808 2:4.7171993 3:0.0 4:1.2793818 5:2.1045551 6:4.2609158 7:0.0 8:0.0 9:0.049462505 10:0.0 11:0.0 12:0.125 13:0.27272728 14:0.1495327 15:0.0 16:18.768902 # 42803
3 qid:0 1:3.7537808 2:4.7171993 3:2.1892886 4:1.3131565 5:1.6655979 6:2.0752301 7:4.106922 8:0.0 9:0.049462505 10:1.0 11:0.0009794319 12:0.21875 13:0.3181818 14:0.13084112 15:0.0 16:18.768902 # 42867
